"","geocoded_address","event_date","year","CSA2010"
"1","2300 E MADISON ST, BALTIMORE, MD, 21205","1/1/16",2016,"Madison/East End"
"2","6401 PULASKI HWY, BALTIMORE, MD, 21205","1/6/16",2016,"Orangeville/East Highlandtown"
"3","5900 WINTHROPE AVE, BALTIMORE, MD, 21206","1/7/16",2016,"Hamilton"
"4","300 W LANVALE ST, BALTIMORE, MD, 21217","1/7/16",2016,"Midtown"
"5","1100 W SARATOGA ST, BALTIMORE, MD, 21223","1/7/16",2016,"Poppleton/The Terraces/Hollins Market"
"6","500 E NORTH AVE, BALTIMORE, MD, 21202","1/10/16",2016,"Midway/Coldstream"
"7","3300 OLD YORK ROAD, MD, 21218","1/10/16",2016,"The Waverlies"
"8","5600 HADDON AVE, MD, 21207","1/12/16",2016,"Howard Park/West Arlington"
"9","200 N ROSE ST, BALTIMORE, MD, 21224","1/15/16",2016,"Patterson Park North & East"
"10","3400 FAIRVIEW AVE, BALTIMORE, MD, 21216","1/18/16",2016,"Forest Park/Walbrook"
"11","9 S CULVER ST, BALTIMORE, MD, 21229","1/19/16",2016,"Allendale/Irvington/S. Hilton"
"12","400 ROUNDVIEW ROAD, MD, 21225","1/19/16",2016,"Cherry Hill"
"13","1 N HIGHLAND AVE, BALTIMORE, MD, 21224","1/26/16",2016,"Orangeville/East Highlandtown"
"14","1200 PATTERSON PARK AVE, MD, 21213","1/29/16",2016,"Clifton-Berea"
"15","1500 PENTRIDGE ROAD, BALTIMORE, MD, 21239","2/1/16",2016,"Northwood"
"16","700 N ROSE ST, BALTIMORE, MD, 21205","2/3/16",2016,"Madison/East End"
"17","1 SOUTH ST, BALTIMORE, MD, 21202","2/4/16",2016,"Downtown/Seton Hill"
"18","3900 PENHURST AVE, MD, 21215","2/5/16",2016,"Dorchester/Ashburton"
"19","1000 E NORTH AVE, BALTIMORE, MD, 21202","2/5/16",2016,"Midway/Coldstream"
"20","700 N MILTON AVE, BALTIMORE, MD, 21205","2/8/16",2016,"Madison/East End"
"21","500 S BOND ST, BALTIMORE, MD, 21231","2/10/16",2016,"Fells Point"
"22","2500 WINCHESTER ST, BALTIMORE, MD, 21216","2/10/16",2016,"Greater Rosemont"
"23","1900 CLIFTON AVE, MD, 21217","2/11/16",2016,"Greater Mondawmin"
"24","2100 W FAYETTE ST, BALTIMORE, MD, 21223","2/12/16",2016,"Southwest Baltimore"
"25","1900 E 31ST ST, BALTIMORE, MD, 21218","2/15/16",2016,"Midway/Coldstream"
"26","1900 N BENTALOU ST, BALTIMORE, MD, 21216","2/17/16",2016,"Greater Mondawmin"
"27","2700 PELHAM AVE, BALTIMORE, MD, 21213","2/18/16",2016,"Belair-Edison"
"28","2300 AIKEN ST, BALTIMORE, MD, 21218","2/19/16",2016,"Midway/Coldstream"
"29","2300 W LAFAYETTE AVE, BALTIMORE, MD, 21216","2/20/16",2016,"Greater Rosemont"
"30","2300 W LAFAYETTE AVE, BALTIMORE, MD, 21216","2/20/16",2016,"Greater Rosemont"
"31","700 W LAFAYETTE AVE, BALTIMORE, MD, 21217","2/21/16",2016,"Upton/Druid Heights"
