geocoded_address,event_date,year,CSA2010
"509 E 43RD ST, BALTIMORE, MD, 21212",1/2/05,2005,Greater Govans
"508 E 43RD ST, BALTIMORE, MD, 21212",1/2/05,2005,Greater Govans
"4814 LIBERTY HEIGHTS AVE, BALTIMORE, MD, 21207",1/2/05,2005,Howard Park/West Arlington
"1422 CEDDOX ST, MD, 21226",1/4/05,2005,Brooklyn/Curtis Bay/Hawkins Point
"1 W PRATT ST, BALTIMORE, MD, 21201",1/5/05,2005,Inner Harbor/Federal Hill
"6300 BOSTON ST, MD, 21224",1/7/05,2005,Southeastern
"2551 FRANCIS ST, BALTIMORE, MD, 21217",1/8/05,2005,Penn North/Reservoir Hill
"541 W 27TH ST, BALTIMORE, MD, 21211",1/10/05,2005,Medfield/Hampden/Woodberry/Remington
"541 W 27TH ST, BALTIMORE, MD, 21211",1/10/05,2005,Medfield/Hampden/Woodberry/Remington
"541 W 27TH ST, BALTIMORE, MD, 21211",1/10/05,2005,Medfield/Hampden/Woodberry/Remington
"3200 MCELDERRY ST, BALTIMORE, MD, 21205",1/11/05,2005,Patterson Park North & East
"1300 STRICKER ST, MD, 21217",1/12/05,2005,Sandtown-Winchester/Harlem Park
"500 N CURLEY ST, BALTIMORE, MD, 21205",1/14/05,2005,Madison/East End
"300 E 20 1/2 ST, BALTIMORE, MD, 21218",1/14/05,2005,Greater Charles Village/Barclay
"1600 E MADISON ST, BALTIMORE, MD, 21205",1/14/05,2005,Oldtown/Middle East
"5810 REISTERSTOWN ROAD, BALTIMORE, MD, 21215",1/15/05,2005,Glen-Fallstaff
"2631 HURON ST, BALTIMORE, MD, 21230",1/15/05,2005,Westport/Mount Winans/Lakeland
"1500 BLOOMINGDALE ROAD, MD, 21216",1/15/05,2005,Greater Rosemont
"1400 CENTRAL AVE, MD, 21202",1/18/05,2005,Greenmount East
"2900 BRIGHTON ST, BALTIMORE, MD, 21216",1/19/05,2005,Greater Rosemont
"x=-76.596730, y=39.362972",1/20/05,2005,Loch Raven
"812 N BRADFORD ST, BALTIMORE, MD, 21205",1/20/05,2005,Madison/East End
"812 N BRADFORD ST, BALTIMORE, MD, 21205",1/20/05,2005,Madison/East End
"2132 AIKEN ST, BALTIMORE, MD, 21218",1/20/05,2005,Midway/Coldstream
"2117 E FAYETTE ST, BALTIMORE, MD, 21231",1/20/05,2005,Patterson Park North & East
"3333 N CHARLES ST, BALTIMORE, MD, 21218",1/22/05,2005,Greater Charles Village/Barclay
"200 AISQUITH ST, BALTIMORE, MD, 21202",1/29/05,2005,Oldtown/Middle East
"1900 LAURETTA AVE, BALTIMORE, MD, 21223",1/29/05,2005,Sandtown-Winchester/Harlem Park
"1800 RUXTON AVE, BALTIMORE, MD, 21216",1/30/05,2005,Greater Rosemont
"2000 GREENMOUNT AVE, MD, 21218",1/31/05,2005,Greater Charles Village/Barclay
"2700 MONUMENT ST, MD, 21205",2/2/05,2005,Madison/East End
"2900 ALLENDALE ROAD, BALTIMORE, MD, 21216",2/6/05,2005,Forest Park/Walbrook
"2300 SIDNEY AVE, BALTIMORE, MD, 21230",2/6/05,2005,Westport/Mount Winans/Lakeland
"951 ELLICOTT DR, BALTIMORE, MD, 21216",2/8/05,2005,Greater Rosemont
"100 S CONKLING ST, BALTIMORE, MD, 21224",2/9/05,2005,Highlandtown
"3200 CHELSEA TER, BALTIMORE, MD, 21216",2/10/05,2005,Forest Park/Walbrook
"3000 E FAYETTE ST, BALTIMORE, MD, 21224",2/10/05,2005,Patterson Park North & East
"2620 ROBB ST, BALTIMORE, MD, 21218",2/10/05,2005,Midway/Coldstream
"3707 BELLE AVE, BALTIMORE, MD, 21215",2/17/05,2005,Dorchester/Ashburton
"504 S BROADWAY, BALTIMORE, MD, 21231",2/18/05,2005,Fells Point
"600 N LAKEWOOD AVE, BALTIMORE, MD, 21205",2/21/05,2005,Madison/East End
"2800 SAINT LO DR, MD, 21213",2/23/05,2005,Belair-Edison
"2235 E NORTH AVE, BALTIMORE, MD, 21213",3/1/05,2005,Clifton-Berea
"2300 CEDLEY ST, BALTIMORE, MD, 21230",3/2/05,2005,Westport/Mount Winans/Lakeland
"1100 RUSSELL ST, MD, 21230",3/2/05,2005,Washington Village/Pigtown
"1500 S EDGEWOOD ST, BALTIMORE, MD, 21227",3/7/05,2005,Morrell Park/Violetville
"1003 BILLIE HOLIDAY CT, BALTIMORE, MD, 21223",3/7/05,2005,Oldtown/Middle East
"3301 WATERVIEW AVE, BALTIMORE, MD, 21230",3/8/05,2005,Cherry Hill
"900 BELGIAN AVE, MD, 21218",3/9/05,2005,Greater Govans
"200 COLLINS AVE, BALTIMORE, MD, 21229",3/12/05,2005,Allendale/Irvington/S. Hilton
"2214 W NORTH AVE, BALTIMORE, MD, 21216",3/14/05,2005,Greater Mondawmin
"x=-76.596974, y=39.363979",3/18/05,2005,Loch Raven
"2200 MCCULLOH ST, MD, 21217",3/18/05,2005,Upton/Druid Heights
"1800 EDMONDSON AVE, MD, 21223",3/19/05,2005,Sandtown-Winchester/Harlem Park
"3339 BELAIR ROAD, BALTIMORE, MD, 21213",3/24/05,2005,Belair-Edison
"2900 ROUND ROAD, BALTIMORE, MD, 21225",3/24/05,2005,Cherry Hill
"4600 CURTIS AVE, BALTIMORE, MD, 21226",3/25/05,2005,Brooklyn/Curtis Bay/Hawkins Point
"2700 ELLICOTT DR, BALTIMORE, MD, 21216",3/26/05,2005,Greater Rosemont
"1500 PRESSTMAN ST, BALTIMORE, MD, 21217",3/30/05,2005,Sandtown-Winchester/Harlem Park
"1 COMMERCE ST, MD, 21202",3/31/05,2005,Downtown/Seton Hill
"5200 CUTHBERT AVE, BALTIMORE, MD, 21215",4/1/05,2005,Pimlico/Arlington/Hilltop
"2000 E NORTH AVE, BALTIMORE, MD, 21213",4/1/05,2005,Clifton-Berea
"800 GUILFORD AVE, MD, 21202",4/3/05,2005,Midtown
"3100 WESTMONT CT, BALTIMORE, MD, 21216",4/8/05,2005,Greater Rosemont
"1400 E MONUMENT ST, BALTIMORE, MD, 21205",4/10/05,2005,Oldtown/Middle East
"1826 WESTWOOD AVE, BALTIMORE, MD, 21217",4/11/05,2005,Sandtown-Winchester/Harlem Park
"500 MCMECHEN ST, MD, 21217",4/12/05,2005,Upton/Druid Heights
"2836 PRESBURY ST, BALTIMORE, MD, 21216",4/12/05,2005,Greater Rosemont
"2700 SAINT LO DR, MD, 21213",4/12/05,2005,Clifton-Berea
"x=-76.580366, y=39.321761",4/14/05,2005,Belair-Edison
"5330 FRANKFORD AVE, BALTIMORE, MD, 21206",4/21/05,2005,Cedonia/Frankford
"100 S POPPLETON ST, BALTIMORE, MD, 21201",4/26/05,2005,Poppleton/The Terraces/Hollins Market
"4410 LAPLATA AVE, MD, 21211",4/27/05,2005,Medfield/Hampden/Woodberry/Remington
"4409 LAPLATA AVE, MD, 21211",4/27/05,2005,Medfield/Hampden/Woodberry/Remington
"400 S AUGUSTA AVE, BALTIMORE, MD, 21229",4/29/05,2005,Allendale/Irvington/S. Hilton
"3728 HUDSON ST, BALTIMORE, MD, 21224",4/30/05,2005,Highlandtown
"2900 GREENMOUNT AVE, BALTIMORE, MD, 21218",5/1/05,2005,Greater Charles Village/Barclay
"1900 W LOMBARD ST, BALTIMORE, MD, 21223",5/1/05,2005,Southwest Baltimore
"2300 E HOFFMAN ST, BALTIMORE, MD, 21213",5/4/05,2005,Clifton-Berea
"4307 PARK HEIGHTS AVE, BALTIMORE, MD, 21215",5/5/05,2005,Southern Park Heights
"5356 SINCLAIR LANE, MD, 21206",5/6/05,2005,Cedonia/Frankford
"600 SCOTT ST, BALTIMORE, MD, 21230",5/11/05,2005,Washington Village/Pigtown
"1600 N GILMOR ST, BALTIMORE, MD, 21217",5/11/05,2005,Sandtown-Winchester/Harlem Park
"4100 AUDREY AVE, BALTIMORE, MD, 21225",5/12/05,2005,Brooklyn/Curtis Bay/Hawkins Point
"2200 W NORTH AVE, BALTIMORE, MD, 21216",5/12/05,2005,Greater Mondawmin
"5004 NORWOOD AVE, BALTIMORE, MD, 21207",5/14/05,2005,Howard Park/West Arlington
"2600 GILES ROAD, BALTIMORE, MD, 21225",5/14/05,2005,Cherry Hill
"200 S HERRING CT, BALTIMORE, MD, 21231",5/14/05,2005,Harbor East/Little Italy
"100 DIENER PL, MD, 21229",5/15/05,2005,Allendale/Irvington/S. Hilton
"946 N BROADWAY, BALTIMORE, MD, 21205",5/16/05,2005,Oldtown/Middle East
"600 N ROBINSON ST, BALTIMORE, MD, 21205",5/16/05,2005,Madison/East End
"600 N EAST AVE, BALTIMORE, MD, 21205",5/17/05,2005,Patterson Park North & East
"2118 W PATAPSCO AVE, BALTIMORE, MD, 21230",5/17/05,2005,Westport/Mount Winans/Lakeland
"5600 LAURELTON AVE, MD, 21214",5/20/05,2005,Harford/Echodale
"1431 HAMBURG ST, MD, 21230",5/21/05,2005,Washington Village/Pigtown
"514 S SMALLWOOD ST, BALTIMORE, MD, 21223",5/25/05,2005,Southwest Baltimore
"3500 SHANNON DR, MD, 21213",5/25/05,2005,Belair-Edison
"2638 LAURETTA AVE, BALTIMORE, MD, 21223",5/25/05,2005,Greater Rosemont
"4408 FRANCONIA DR, MD, 21206",5/26/05,2005,Cedonia/Frankford
"1635 N GILMOR ST, BALTIMORE, MD, 21217",5/27/05,2005,Sandtown-Winchester/Harlem Park
"3200 BELMONT AVE, MD, 21216",5/29/05,2005,Greater Rosemont
"3900 EDMONDSON AVE, BALTIMORE, MD, 21229",5/31/05,2005,Edmondson Village
"400 W 26TH ST, BALTIMORE, MD, 21211",6/2/05,2005,Medfield/Hampden/Woodberry/Remington
"500 W 29TH ST, BALTIMORE, MD, 21211",6/3/05,2005,Medfield/Hampden/Woodberry/Remington
"4400 BELAIR ROAD, BALTIMORE, MD, 21206",6/3/05,2005,Lauraville
"624 FRANKLIN ST, MD, 21201",6/4/05,2005,Downtown/Seton Hill
"2120 TUCKER LANE, MD, 21207",6/4/05,2005,Dickeyville/Franklintown
"4900 QUEENSBERRY AVE, BALTIMORE, MD, 21215",6/6/05,2005,Pimlico/Arlington/Hilltop
"2700 BERYL AVE, BALTIMORE, MD, 21205",6/7/05,2005,Clifton-Berea
"2100 WALBROOK AVE, BALTIMORE, MD, 21217",6/7/05,2005,Greater Mondawmin
"900 N CHESTER ST, BALTIMORE, MD, 21205",6/8/05,2005,Oldtown/Middle East
"3832 ROLAND VIEW AVE, BALTIMORE, MD, 21215",6/8/05,2005,Southern Park Heights
"5447 PARK HEIGHTS AVE, BALTIMORE, MD, 21215",6/9/05,2005,Pimlico/Arlington/Hilltop
"500 E 27TH ST, BALTIMORE, MD, 21218",6/9/05,2005,The Waverlies
"600 N POTOMAC ST, BALTIMORE, MD, 21205",6/14/05,2005,Madison/East End
