"","OBJECTID","CSA2010","pop","poverty","total","homicide_rate"
"1",1,"Allendale/Irvington/S. Hilton",16217,21.28264805,10,61.6636862551643
"2",2,"Beechfield/Ten Hills/West Hills",12264,11.58984636,2,16.3078930202218
"3",3,"Belair-Edison",17416,19.59215281,11,63.1603123564538
"4",4,"Brooklyn/Curtis Bay/Hawkins Point",14243,26.3337469,13,91.2729059889068
"5",5,"Canton",8100,2.260273973,0,0
"6",6,"Cedonia/Frankford",23557,15.10777521,6,25.470136265229
"7",7,"Cherry Hill",8202,41.05090312,6,73.1528895391368
"8",8,"Chinquapin Park/Belvedere",7756,10.16324381,2,25.7864878803507
"9",9,"Claremont/Armistead",8231,23.58634743,2,24.2983841574535
"10",10,"Clifton-Berea",9874,29.24208145,9,91.1484707312133
"11",11,"Cross-Country/Cheswolde",13034,7.147862649,0,0
"12",12,"Dickeyville/Franklintown",4101,17.69547325,0,0
"13",13,"Dorchester/Ashburton",11786,15.35493827,3,25.4539283896148
"14",14,"Downtown/Seton Hill",6446,7.086614173,4,62.0539869686627
"15",15,"Edmondson Village",7900,11.05743425,4,50.6329113924051
"16",16,"Fells Point",9039,3.791174643,3,33.1895121141719
"17",17,"Forest Park/Walbrook",9849,18.94293732,10,101.533150573662
"18",18,"Glen-Fallstaff",14914,20.2957379,4,26.8204371731259
"19",19,"Greater Charles Village/Barclay",16391,25.95462092,7,42.706363248124
"20",20,"Greater Govans",10681,19.2692475,3,28.0872577474019
"21",21,"Greater Mondawmin",9322,17.17226436,14,150.182364299507
"22",22,"Greater Roland Park/Poplar Hill",7377,3.634361233,1,13.5556459265284
"23",23,"Greater Rosemont",19259,23.89354932,15,77.8856638454748
"24",24,"Hamilton",13002,10.9202454,2,15.382248884787
"25",25,"Harford/Echodale",16839,8.983384962,0,0
"26",26,"Highlandtown",7250,9.009009009,0,0
"27",27,"Howard Park/West Arlington",10873,17.42254154,10,91.9709371838499
"28",28,"Inner Harbor/Federal Hill",12855,2.745256359,0,0
"29",29,"Lauraville",12273,9.670637701,1,8.14796708221299
"30",30,"Loch Raven",15311,11.56113817,3,19.5937561230488
"31",31,"Madison/East End",7781,32.37410072,13,167.07364092019
"32",32,"Medfield/Hampden/Woodberry/Remington",17388,7.394156231,0,0
"33",33,"Midway/Coldstream",9624,23.63737486,18,187.032418952618
"34",34,"Morrell Park/Violetville",8964,14.52879581,1,11.1557340473003
"35",35,"Mount Washington/Coldspring",5168,3.789836348,0,0
"36",36,"North Baltimore/Guilford/Homeland",17464,5.725567621,2,11.4521300961979
"37",37,"Northwood",16643,7.604448452,3,18.0255963468125
"38",38,"Orangeville/East Highlandtown",9131,13.68267831,5,54.7585149490746
"39",39,"Patterson Park North & East",14549,22.83290299,6,41.2399477627328
"40",40,"Penn North/Reservoir Hill",9668,29.42453855,5,51.7170045510964
"41",41,"Pimlico/Arlington/Hilltop",11816,19,8,67.7048070412999
"42",42,"Poppleton/The Terraces/Hollins Market",5086,47.65458422,7,137.632717263075
"43",43,"Sandtown-Winchester/Harlem Park",14896,31.82289865,20,134.264232008593
"44",44,"South Baltimore",6406,0.811907984,0,0
"45",45,"Southeastern",6260,29.4488189,3,47.9233226837061
"46",46,"Southern Park Heights",13284,34.87052146,12,90.3342366757001
"47",47,"Southwest Baltimore",17885,36.01598174,24,134.190662566396
"48",48,"The Waverlies",7753,18.34034877,4,51.5929317683477
"49",49,"Washington Village/Pigtown",5503,24.78873239,4,72.6876249318554
"50",50,"Westport/Mount Winans/Lakeland",7119,19.85018727,3,42.1407501053519
"51",51,"Oldtown/Middle East",10021,42.5,11,109.769484083425
"52",52,"Harbor East/Little Italy",5407,31.06134372,2,36.9890882189754
"53",53,"Upton/Druid Heights",10342,44.15,12,116.031715335525
"54",54,"Midtown",15020,8.064516129,4,26.6311584553928
"55",55,"Greenmount East",8184,24.18006431,7,85.5327468230694
